,ig,lime,xrai,anchor,best
1222__pool_table__0.9999995.jpg,12,13,3,1,lime
1328__coil__0.99999607.jpg,17,4,3,2,ig
134__zebra__0.9999949.jpg,14,1,8,2,ig
2377471__pizza__0.9999988.jpg,21,0,1,2,ig
2377620__zebra__0.9999882.jpg,13,4,6,1,ig
2377698__zebra__0.9999999.jpg,17,4,0,1,ig
2378170__zebra__0.9999902.jpg,12,2,8,0,ig
2378358__park_bench__0.99999833.jpg,13,4,5,0,ig
2378523__banana__0.99999785.jpg,8,12,0,2,lime
2379086__zebra__0.9999975.jpg,12,1,8,1,ig
2379489__parking_meter__0.9999989.jpg,14,2,6,0,ig
2380017__zebra__0.9999995.jpg,12,2,7,1,ig
2380019__zebra__0.9999926.jpg,11,1,7,2,ig
2380189__zebra__0.9999993.jpg,11,3,6,0,ig
2380319__broccoli__0.9999957.jpg,14,5,1,0,ig
2380447__bullet_train__0.9999869.jpg,11,2,7,0,ig
2380669__parking_meter__0.9999993.jpg,11,1,7,1,ig
2380865__traffic_light__0.99999714.jpg,10,5,5,0,ig
2380905__gondola__0.9999888.jpg,8,2,6,3,ig
2380925__zebra__0.9999987.jpg,8,3,7,0,ig
2381648__zebra__0.9999995.jpg,10,3,3,1,ig
2381879__zebra__0.99999523.jpg,12,0,5,0,ig
2381932__traffic_light__0.99999964.jpg,5,10,2,0,lime
2381941__zebra__0.9999914.jpg,11,4,2,0,ig
2381968__ski__0.999984.jpg,7,1,7,1,ig
2382183__pizza__0.99998593.jpg,9,1,1,5,ig
2382436__park_bench__0.99999964.jpg,9,0,6,1,ig
2382474__bow_tie__0.9999982.jpg,10,4,2,0,ig
2382589__zebra__0.9999982.jpg,11,0,3,1,ig
2382792__umbrella__0.9999838.jpg,6,8,1,0,lime
2382909__zebra__0.9999988.jpg,10,0,5,0,ig
2382913__zebra__0.9999883.jpg,6,5,3,1,ig
2383286__zebra__0.99999857.jpg,11,0,2,2,ig
2383569__parking_meter__0.9999988.jpg,8,0,7,0,ig
2383706__umbrella__0.9999994.jpg,9,4,2,0,ig
2384145__street_sign__0.9999987.jpg,6,5,3,1,ig
2384512__zebra__0.99999726.jpg,8,1,6,0,ig
2384755__street_sign__0.9999924.jpg,6,3,5,1,ig
2385034__zebra__0.9999981.jpg,6,3,5,1,ig
2385039__zebra__0.9999844.jpg,10,3,2,0,ig
2385187__street_sign__0.99999595.jpg,6,6,3,0,ig
2385298__parking_meter__0.9999865.jpg,7,2,6,0,ig
2385461__zebra__0.99998415.jpg,8,0,7,0,ig
2385767__zebra__0.9999958.jpg,5,1,6,3,xrai
2386049__king_penguin__0.99999917.jpg,8,0,7,0,ig
2386068__zebra__0.9999949.jpg,8,0,2,5,ig
2386193__broccoli__0.9999924.jpg,10,3,2,0,ig
2386456__zebra__0.9999989.jpg,6,2,6,0,ig
2386750__pizza__0.9999889.jpg,7,1,0,6,ig
2387034__zebra__0.9999896.jpg,11,0,3,0,ig
2387038__street_sign__0.9999888.jpg,8,1,5,0,ig
2387305__traffic_light__1.0.jpg,4,8,2,0,lime
2387437__parking_meter__0.9999839.jpg,7,3,4,0,ig
2388441__banana__0.9999993.jpg,7,2,4,1,ig
2388889__hotdog__0.99999714.jpg,11,0,0,3,ig
2389131__pizza__0.9999943.jpg,8,1,1,4,ig
2389163__zebra__0.9999957.jpg,5,1,5,3,ig
2389324__zebra__0.9999993.jpg,6,2,6,0,ig
2389484__street_sign__0.99998474.jpg,6,4,3,0,ig
2390296__umbrella__0.99999106.jpg,10,0,3,0,ig
2391408__traffic_light__0.99999654.jpg,6,5,2,0,ig
2391701__zebra__0.9999912.jpg,6,2,3,2,ig
2391862__broccoli__0.99999714.jpg,8,4,1,0,ig
2391918__steam_locomotive__0.99999845.jpg,8,1,4,0,ig
